時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2023-03-06 17:54:33.745,1,82019C41,No Relay,34,168,2980,1
2023-03-06 17:54:34.801,1,8201A0FF,No Relay,18,132,2950,1
2023-03-06 17:54:35.089,1,820198F4,No Relay,16,162,2980,1
2023-03-06 17:54:35.441,1,82019A14,No Relay,20,198,3190,1
2023-03-06 17:54:36.254,1,82019C19,No Relay,14,168,2595,1
2023-03-06 17:54:36.542,1,82019C41,No Relay,35,150,2980,1
2023-03-06 17:54:37.309,1,8201A0FF,No Relay,19,132,2950,1
2023-03-06 17:54:37.677,1,820198F4,No Relay,17,162,2980,1
2023-03-06 17:54:38.140,1,82019DEE,No Relay,26,192,3190,1
2023-03-06 17:54:38.731,1,82019C19,No Relay,15,168,2600,1
2023-03-06 17:54:39.818,1,8201A0FF,No Relay,20,132,2950,1
2023-03-06 17:54:40.441,1,820198F4,No Relay,18,162,2980,1
2023-03-06 17:54:40.665,1,82019DEE,No Relay,27,192,3200,1
2023-03-06 17:54:40.873,1,82019A14,No Relay,22,198,3190,1
2023-03-06 17:54:41.384,1,82019C19,No Relay,16,168,2600,1
2023-03-06 17:54:41.577,1,82019C41,No Relay,37,168,2980,1
2023-03-06 17:54:42.424,1,8201A0FF,No Relay,21,132,2950,1
2023-03-06 17:54:42.870,1,820198F4,No Relay,19,162,2980,1
2023-03-06 17:54:43.126,1,82019DEE,No Relay,28,192,3200,1
2023-03-06 17:54:43.510,1,82019A14,No Relay,23,198,3180,1
2023-03-06 17:54:43.702,1,82019C19,No Relay,17,168,2600,1
2023-03-06 17:54:44.340,1,82019C41,No Relay,38,165,2980,1
2023-03-06 17:54:44.805,1,8201A0FF,No Relay,22,135,2950,1
2023-03-06 17:54:45.957,1,82019DEE,No Relay,29,192,3190,1
2023-03-06 17:54:46.195,1,82019A14,No Relay,24,198,3180,1
2023-03-06 17:54:46.403,1,82019C19,No Relay,18,168,2600,1
2023-03-06 17:54:47.153,1,82019C41,No Relay,39,168,2980,1
2023-03-06 17:54:47.457,1,8201A0FF,No Relay,23,129,2950,1
2023-03-06 17:54:48.623,1,82019DEE,No Relay,30,192,3190,1
2023-03-06 17:54:48.831,1,82019A14,No Relay,25,198,3180,1
2023-03-06 17:54:49.023,1,82019C19,No Relay,19,168,2600,1
